clock,sample,za1,za2,za3,za4,za5,za6,za7,za8,za9,za10,za11,za12,za13,za14,za15,za16,za17,za18,za19,za20,za21,za22,za23,za24,za25,za26,za27,za28,za29,za30,za31,za32,zd1,zd2,zd3,zd4,zd5,zd6,zd7,zd8,zd9,zd10,zd11,zd12,zd13,zd14,zd15,zd16,zd17,zd18,zd19,zd20,zd21,zd22,zd23,zd24,zd25,zd26,zd27,zd28,zd29,zd30,zd31,zd32,pattern1,pattern2,pattern3,pattern4,pattern5,pattern6,pattern7,pattern8,pattern9,pattern10
2016-05-15T17:48:25.324Z,569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-36,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-1923,-569919,-569919,-30,-840,-15,-569919,-17,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-31,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-569919,-28,-832,-11,-569919,-13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:42:24.129Z,569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-81,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-1562,-569558,-569558,-87,-479,-6,-569558,-64,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-78,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-569558,-82,-471,-3,-569558,-60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:42:02.073Z,569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-59,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-1540,-569536,-569536,-65,-457,-9,-569536,-42,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-56,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-569536,-60,-449,-7,-569536,-38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:40:05.493Z,569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-35,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-1423,-569419,-569419,-29,-340,-5,-569419,-14,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-33,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-569419,-27,-332,-4,-569419,-219,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T18:20:01.297Z,571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-122,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-3819,-571815,-571815,-126,-955,-18,-571815,-104,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-119,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-571815,-123,-949,-16,-571815,-99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T18:25:05.355Z,572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-425,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-4122,-572118,-572118,-87,-1258,-3,-572118,-407,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-422,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-572118,-76,-1252,-1,-572118,-402,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T18:56:59.696Z,574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-129,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-1448,-574032,-190,-46,-2,-1,-574032,-12,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-123,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-574032,-1449,-574032,-187,-37,-19,-3,-574032,-106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T18:55:22.487Z,573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-33,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-1352,-573936,-94,-43,-100,-6,-573936,-14,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-27,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-573936,-1353,-573936,-91,-34,-97,-4,-573936,-10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T19:06:08.920Z,574583,-203,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-80,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-51,-52,-101,-94,-115,-3,-574583,-22,-179,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-75,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-574583,-52,-51,-99,-81,-111,-2,-574583,-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T19:05:54.391Z,574568,-188,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-65,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-36,-37,-86,-79,-100,-6,-574568,-7,-164,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-60,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-574568,-37,-36,-84,-66,-96,-1,-574568,-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
