clock,sample,za1,za2,za3,za4,za5,za6,za7,za8,za9,za10,za11,za12,za13,za14,za15,za16,za17,za18,za19,za20,za21,za22,za23,za24,za25,za26,za27,za28,za29,za30,za31,za32,zd1,zd2,zd3,zd4,zd5,zd6,zd7,zd8,zd9,zd10,zd11,zd12,zd13,zd14,zd15,zd16,zd17,zd18,zd19,zd20,zd21,zd22,zd23,zd24,zd25,zd26,zd27,zd28,zd29,zd30,zd31,zd32,pattern1,pattern2,pattern3,pattern4,pattern5,pattern6,pattern7,pattern8
Tue May 03 2016 19:44:12 GMT-0700 (PDT),298998,-2039,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-137,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-4222,-142,-1701,-22,-298998,-18,-2034,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-131,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-298998,-4220,-138,-1699,-15,-298998,-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:13 GMT-0700 (PDT),298999,-2040,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-138,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-4223,-143,-1702,-23,-298999,-19,-2035,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-132,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-298999,-4221,-139,-1700,-16,-298999,-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:14 GMT-0700 (PDT),299000,-2041,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-139,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-4224,-144,-1703,-24,-299000,-20,-2036,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-133,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-299000,-4222,-140,-1701,-17,-299000,-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:15 GMT-0700 (PDT),299002,-2043,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-141,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-4226,-146,-1705,-26,-299002,-22,-2038,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-135,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-299002,-4224,-142,-1703,-19,-299002,-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:16 GMT-0700 (PDT),299003,-2044,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,0,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-4227,-147,-1706,-27,-299003,-23,-2039,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-136,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-299003,-4225,-143,-1704,-20,-299003,-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:18 GMT-0700 (PDT),299004,-2045,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-1,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-4228,-148,-1707,-28,-299004,-24,-2040,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-137,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-299004,-4226,-144,-1705,-21,-299004,-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:19 GMT-0700 (PDT),299005,-2046,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-2,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-4229,-149,-1708,-29,-299005,-25,-2041,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-138,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-299005,-4227,-145,-1706,-22,-299005,-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:20 GMT-0700 (PDT),299007,-2048,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-4,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-4231,-151,-1710,-31,-299007,-27,-2043,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-140,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-299007,-4229,-147,-1708,-24,-299007,-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:21 GMT-0700 (PDT),299008,-2049,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-5,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-4232,-152,-1711,-32,-299008,-28,-2044,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-141,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-299008,-4230,-148,-1709,-25,-299008,-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:22 GMT-0700 (PDT),299009,-2050,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-6,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-4233,-153,-1712,-33,-299009,-29,-2045,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-142,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-299009,-4231,-149,-1710,-26,-299009,-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
